价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
18.37919936891361,0.9397794648077992,0.5617583958169945,0.0,-15.5256514110062,-16.080892860099087,-16.70176496811579,-17.74073584800911,-19.56094309727569,1.0
5.6346318510950875,-3.3868159948940786,-4.107931415545082,0.0,-15.695417140404473,-16.23844169331327,-16.895257064947366,-18.13493940990629,-19.60282975562433,1.0
2.3014886922982143,2.4688747165798404,2.2163992257221565,0.0,-15.875394044697266,-16.464626354287578,-17.03265320482069,-18.53882241461593,-19.508956590961205,0.0
35.42873327748305,-0.1873541431310528,-0.5725090215234516,0.0,-15.95351517863729,-16.57546958886101,-17.107487119388608,-18.74666978418716,-19.096175056155843,1.0
4.662032853424272,-4.0968439133166745,-4.636937408315474,0.0,-16.04412072895709,-16.69714403535213,-17.23676354410567,-18.90868937030812,-18.578955004614343,1.0
-21.645728921356223,-23.61521814721076,-25.090315577780828,0.0,-16.18270422559418,-16.884309373144593,-17.381151399665505,-18.857929117721568,-18.33411796026845,0.0
8.225139903347014,-16.136955568623677,-17.213975957583383,-14.91713577526336,-16.293876467096947,-17.032459593751234,-17.500623769810527,-18.72303403995997,-18.019796818186396,1.0
-22.80742890708243,40.63568972318861,41.79258743007553,-15.204730515400627,-16.349259384958607,-17.154913746736582,-17.63435378617495,-18.593316585522466,-17.852755082735953,0.0
-3.9656349586951047,3.783840804196167,3.604967236375977,-15.411081336834323,-16.446785858833653,-17.250353814792838,-17.732075401532718,-18.44559888638932,-17.97084011173552,1.0
35.94129413151282,14.879755593400915,14.975224442290935,-15.596246011505789,-16.491682643651288,-17.303728611214936,-17.840076673176142,-18.113418626822,-17.82158862900166,1.0
26.92354779091673,-2.7581601908968025,-3.0799873919384595,-15.782873254296101,-16.500546734589232,-17.30508422076857,-17.892119941408712,-17.750427029078274,-17.336534617588484,1.0
-0.5550870693773149,7.234853105775151,7.024490551936204,-15.958899371592722,-16.52974848802217,-17.31634001651227,-17.913070955259077,-17.3975656205833,-16.94165490115244,0.0
20.418883012056625,7.741131735181368,7.458026587039412,-16.115241096116883,-16.590644259506472,-17.26334216754548,-17.899553047931626,-16.96415175304869,-16.236188660076618,1.0
4.663314063658554,-6.3450262940126905,-6.584803395991088,-16.27120183568544,-16.60593533370907,-17.22318608031297,-17.869505454152225,-16.693891136280566,-15.571703859672766,0.0
7.5757173836109,12.449514120127759,12.115527799149008,-16.393533342970073,-16.62806798610037,-17.217745002474295,-17.813834192611004,-16.41779093524907,-15.1650135473593,1.0
-8.495137191481795,-5.811911829621715,-6.069921689982613,-16.518984496763373,-16.691928607144348,-17.21203853619148,-17.635772832825424,-16.109974264433312,-15.033555358906925,0.0
41.05377765337544,17.97298857546914,17.15554752670836,-16.589246640402102,-16.680421313281677,-17.12917265621588,-17.32529808092628,-15.62015837677108,-14.443625726686316,1.0
-1.3600468058955713,-10.6874502868885,-10.50108409165442,-16.671564994084974,-16.63654360467521,-17.038855252861527,-16.991601135254406,-15.078151498192966,-14.061567583605616,0.0
-3.836685183655668,-4.802569428914836,-4.834440810957061,-16.744844323467007,-16.579979687716097,-16.93456191204838,-16.66370462062077,-14.56611897247314,-13.698234821043007,0.0
26.38391131947753,19.512382372988032,18.44543311085218,-16.798472174208328,-16.502278704165267,-16.851443362474676,-16.26383928505858,-14.096304825920607,-13.160574478450444,1.0
-32.37845849576536,-16.076953726172107,-15.830043839306429,-16.837952771319294,-16.446038200568303,-16.811032943824326,-15.96841433883636,-13.868615720645044,-12.834026706859412,0.0
-5.371868396515198,13.1168554730706,12.499372928783025,-16.84644167531306,-16.3876681231267,-16.73691967839072,-15.659055351138631,-13.602440842339945,-12.890564405420875,1.0
